human_gene_symbols,dmel_gene_id,dmel_gene_symbol,cell_type_id,cell_type_name,max_spread,max_mean_expression,supporting_rows,within_gene_rank
DUSP6,FBgn0036844,Mkp3,FBbt:00003629,DN1 neuron,0.96,2121.672536,1,4
DUSP6,FBgn0036844,Mkp3,FBbt:00100248,alpha/beta Kenyon cell,0.92437,2014.11663,8,5
MON1A,FBgn0031640,Mon1,FBbt:00111316,adult CCAP neuron,0.25,182.516695,1,1
MON1A,FBgn0031640,Mon1,FBbt:00003771,distal medullary amacrine neuron Dm4,0.16,127.934947,1,2
MON1A,FBgn0031640,Mon1,FBbt:00110925,Hugin neuron,0.147059,122.326163,1,3
MON1A,FBgn0031640,Mon1,FBbt:00110061,adult Tachykinin neuron of the central nervous system,0.142857,668.67535,9,4
MON1A,FBgn0031640,Mon1,FBbt:00003844,medulla tangential neuron Mt8,0.142857,537.92365,1,5
NF1,FBgn0015269,Nf1,FBbt:00048313,ITP neuron,0.619048,112.477795,1,1
NF1,FBgn0015269,Nf1,FBbt:00110061,adult Tachykinin neuron of the central nervous system,0.5625,469.074409,12,2
NF1,FBgn0015269,Nf1,FBbt:00003629,DN1 neuron,0.56,232.547118,1,3
NF1,FBgn0015269,Nf1,FBbt:00111316,adult CCAP neuron,0.5,160.275949,1,4
NF1,FBgn0015269,Nf1,FBbt:00004046,LNv neuron,0.457143,106.264244,1,5
SLC6A3 | SLC6A9,FBgn0267326,Ntl,FBbt:00057009,head cyst cell,0.185553,175.2305,4,1
SLC6A3 | SLC6A9,FBgn0267326,Ntl,FBbt:00047095,adult neuron,0.113636,805.976385,34,2
SLC6A3 | SLC6A9,FBgn0267326,Ntl,FBbt:00058251,adult perineurial glial cell,0.083333,1018.3299,11,3
SLC6A3 | SLC6A9,FBgn0267326,Ntl,FBbt:00058203,adult octopaminergic neuron,0.071429,1682.0858,7,4
SLC6A3 | SLC6A9,FBgn0267326,Ntl,FBbt:00110066,proximal medullary amacrine neuron Pm3,0.047619,341.99728,1,5
SH3RF2,FBgn0040294,POSH,FBbt:00004211,photoreceptor neuron,0.125,818.54944,22,1
SH3RF2,FBgn0040294,POSH,FBbt:00058244,adult sensory neuron,0.1,405.11415,8,2
SH3RF2,FBgn0040294,POSH,FBbt:00047095,adult neuron,0.080292,1881.02355,45,3
SH3RF2,FBgn0040294,POSH,FBbt:00051420,adult mechanosensory neuron,0.068477,1323.45945,15,4
SH3RF2,FBgn0040294,POSH,FBbt:00048284,adult multidendritic neuron,0.058824,639.7953,3,5
MST1R,FBgn0025740,PlexB,FBbt:00110061,adult Tachykinin neuron of the central nervous system,0.6,558.878451,12,1
MST1R,FBgn0025740,PlexB,FBbt:00058251,adult perineurial glial cell,0.583333,2157.486425,18,2
MST1R,FBgn0025740,PlexB,FBbt:00007422,antennal lobe projection neuron,0.578947,841.675415,16,3
MST1R,FBgn0025740,PlexB,FBbt:00048284,adult multidendritic neuron,0.575758,720.881257,10,4
MST1R,FBgn0025740,PlexB,FBbt:00051420,adult mechanosensory neuron,0.548996,1223.457949,22,5
POC1B,FBgn0036354,Poc1,FBbt:00057009,head cyst cell,0.225977,196.80043,4,1
POC1B,FBgn0036354,Poc1,FBbt:00047095,adult neuron,0.159091,1325.503347,37,2
POC1B,FBgn0036354,Poc1,FBbt:00004211,photoreceptor neuron,0.1,964.3202,7,3
